method,received_at,east_m,north_m,error_to_rtk_m
FlexTDOA,1785765513.477802,0.304730,3.290234,0.158604
FlexTDOA,1785765513.519050,0.276075,3.458314,0.102081
FlexTDOA,1785765513.620214,0.279535,3.277103,0.182295
FlexTDOA,1785765513.665686,0.299320,3.274431,0.175184
FlexTDOA,1785765513.665720,0.294389,3.306006,0.149911
FlexTDOA,1785765513.665757,0.432328,3.323072,0.123612
FlexTDOA,1785765513.674611,0.300740,3.316111,0.137976
FlexTDOA,1785765513.781820,0.399902,3.340584,0.095273
FlexTDOA,1785765513.877829,0.311404,3.360184,0.096197
FlexTDOA,1785765513.877869,0.349412,3.293659,0.141152
FlexTDOA,1785765513.924441,0.323218,3.499597,0.084655
FlexTDOA,1785765513.924903,0.484968,3.302825,0.170131
FlexTDOA,1785765514.014864,0.524088,3.595639,0.221109
FlexTDOA,1785765514.068875,0.347848,3.344125,0.092406
FlexTDOA,1785765514.068914,0.287167,3.299333,0.159437
FlexTDOA,1785765514.171546,0.436942,3.307218,0.139831
FlexTDOA,1785765514.231598,0.515750,3.321635,0.179297
FlexTDOA,1785765514.231898,0.404357,3.358216,0.079935
FlexTDOA,1785765514.233273,0.314208,3.279192,0.164863
FlexTDOA,1785765514.327869,0.293412,3.301549,0.154203
FlexTDOA,1785765514.424248,0.419654,3.383709,0.066250
FlexTDOA,1785765514.430726,0.285385,3.490082,0.106383
FlexTDOA,1785765514.624650,0.325447,3.459198,0.056145
FlexTDOA,1785765514.624703,0.462857,3.387547,0.098834
FlexTDOA,1785765514.748560,0.108472,3.469425,0.268914
FlexTDOA,1785765514.809377,0.365949,3.252922,0.179799
FlexTDOA,1785765514.816297,0.334915,3.445937,0.042124
FlexTDOA,1785765514.854465,0.314934,3.482212,0.077843
FlexTDOA,1785765514.905728,0.336209,3.312563,0.126006
FlexTDOA,1785765514.950461,0.474791,3.473540,0.108049
FlexTDOA,1785765514.950498,0.291478,3.447018,0.084615
FlexTDOA,1785765514.950534,0.413285,3.304873,0.133294
FlexTDOA,1785765514.958323,0.426363,3.503680,0.087870
FlexTDOA,1785765515.105439,0.409251,3.276112,0.160131
FlexTDOA,1785765515.105487,0.268986,3.359064,0.128833
FlexTDOA,1785765515.151541,0.458611,3.357377,0.112524
FlexTDOA,1785765515.151682,0.358718,3.395865,0.040026
FlexTDOA,1785765515.199251,0.418951,3.306419,0.133577
FlexTDOA,1785765515.250450,0.243434,3.284230,0.198120
FlexTDOA,1785765515.298647,0.414339,3.271944,0.165345
FlexTDOA,1785765515.349473,0.263729,3.318430,0.159241
FlexTDOA,1785765515.394221,0.190374,3.320248,0.215936
FlexTDOA,1785765515.394264,0.392650,3.189309,0.243843
FlexTDOA,1785765515.653986,0.278505,3.374665,0.112362
FlexTDOA,1785765515.658900,0.292542,3.287771,0.166492
FlexTDOA,1785765515.754585,0.429724,3.251579,0.189064
FlexTDOA,1785765515.919872,0.389554,3.375785,0.058595
FlexTDOA,1785765515.921499,0.286680,3.329975,0.135217
FlexTDOA,1785765515.921791,0.251202,3.350111,0.148574
FlexTDOA,1785765515.921844,0.345651,3.189827,0.244423
FlexTDOA,1785765516.121387,0.341911,3.261854,0.173795
FlexTDOA,1785765516.218797,0.409400,3.279398,0.156956
FlexTDOA,1785765516.218836,0.405762,3.416102,0.035003
FlexTDOA,1785765516.231756,0.376284,3.256703,0.175804
FlexTDOA,1785765516.270409,0.231406,3.446268,0.144092
FlexTDOA,1785765516.270453,0.386319,3.330911,0.102237
FlexTDOA,1785765516.417078,0.351559,3.343071,0.092411
FlexTDOA,1785765516.516460,0.384763,3.287653,0.145188
FlexTDOA,1785765516.548546,0.253645,3.478810,0.129740
FlexTDOA,1785765516.548579,0.399756,3.279807,0.154714
FlexTDOA,1785765516.647982,0.448372,3.304737,0.147414
FlexTDOA,1785765516.694618,0.458558,3.415541,0.085421
FlexTDOA,1785765516.811896,0.357488,3.170201,0.262874
FlexTDOA,1785765516.860457,0.378525,3.275668,0.156877
FlexTDOA,1785765516.908578,0.239557,3.356809,0.155018
FlexTDOA,1785765516.908651,0.442574,3.295428,0.152896
FlexTDOA,1785765516.914216,0.353813,3.261862,0.171929
FlexTDOA,1785765516.957465,0.338710,3.393105,0.053454
FlexTDOA,1785765517.059143,0.500092,3.336548,0.157783
FlexTDOA,1785765517.163029,0.474214,3.298290,0.166997
FlexTDOA,1785765517.211051,0.339437,3.347616,0.091972
FlexTDOA,1785765517.211104,0.473295,3.376786,0.113128
FlexTDOA,1785765517.222993,0.426286,3.487451,0.075275
FlexTDOA,1785765517.411599,0.421701,3.283687,0.156019
FlexTDOA,1785765517.439643,0.313992,3.430672,0.060874
FlexTDOA,1785765517.485446,0.356058,3.261975,0.171557
